iter	Logloss	Accuracy
0	0.5276828718	0.9278597786
1	0.4159969734	0.927998155
2	0.3530608702	0.9282287823
3	0.3034791062	0.9282749077
4	0.2764476195	0.9288745387
5	0.257186042	0.9290590406
6	0.2433105331	0.9290129151
7	0.2333463002	0.9291512915
8	0.2278482695	0.9296125461
9	0.2227010884	0.9302121771
10	0.2179529195	0.9305350554
11	0.2146963434	0.930904059
12	0.2118878528	0.9312730627
13	0.2098129533	0.9310885609
14	0.2082674841	0.9314575646
15	0.2073495777	0.9317343173
16	0.2061516861	0.9316420664
17	0.2047169285	0.9316881919
18	0.2037548454	0.9319649446
19	0.2030448265	0.932103321
20	0.2022691094	0.9329797048
21	0.2015360241	0.9332103321
22	0.2011217581	0.9332564576
23	0.1997922337	0.933302583
24	0.1995618522	0.9333948339
25	0.1990944347	0.9337177122
26	0.1983197868	0.9337638376
27	0.1982329325	0.9338099631
28	0.1977845701	0.9338560886
29	0.1972712972	0.9340405904
30	0.1967358	0.9341328413
31	0.196336621	0.934501845
32	0.1960006883	0.934501845
33	0.1954334803	0.9346402214
34	0.1949772407	0.9346863469
35	0.1947761289	0.9347785978
36	0.1943876877	0.9349630996
37	0.1941361637	0.9350553506
38	0.1934599308	0.9351476015
39	0.1932927779	0.9352398524
40	0.1930894633	0.9353782288
41	0.1929945383	0.9354243542
42	0.1926653156	0.9354704797
43	0.1923822854	0.9353782288
44	0.1922603019	0.9356088561
45	0.1921803527	0.935701107
46	0.1920774281	0.9355627306
47	0.1919917926	0.9355166052
48	0.1914090467	0.9356549815
49	0.1912331199	0.935701107
50	0.1908660409	0.9362546125
51	0.1906544628	0.9362084871
52	0.1903014931	0.936300738
53	0.1898803717	0.9363468635
54	0.1898244688	0.9364852399
55	0.1896550018	0.9365774908
56	0.1894273817	0.9368542435
57	0.189359981	0.9370387454
58	0.1890952382	0.9367158672
59	0.1887098872	0.9367158672
60	0.188543666	0.936900369
61	0.1883556073	0.9369926199
62	0.1881592268	0.9369926199
63	0.1880142723	0.9371771218
64	0.188014109	0.9371771218
65	0.1879586225	0.9370848708
66	0.1878874705	0.9372232472
67	0.1875871625	0.9374538745
68	0.1874004864	0.9374077491
69	0.1873152398	0.9374077491
70	0.1869625213	0.9375
71	0.1862350207	0.9378228782
72	0.1862066908	0.9379151292
73	0.1859225668	0.9378690037
74	0.1855888655	0.9379612546
75	0.1853766962	0.9381918819
76	0.1853598414	0.9381457565
77	0.1852763093	0.938099631
78	0.1849977651	0.9383302583
79	0.1848283832	0.9383763838
80	0.1844660306	0.9385147601
81	0.1841521047	0.9385608856
