iter	Passed	Remaining
0	122	24442
1	182	18024
2	208	13714
3	245	12021
4	309	12076
5	366	11837
6	411	11346
7	465	11168
8	517	10980
9	572	10876
10	625	10745
11	680	10665
12	738	10628
13	807	10733
14	870	10739
15	926	10649
16	992	10681
17	1059	10710
18	1126	10736
19	1254	11290
20	1432	12214
21	1504	12169
22	1578	12144
23	1654	12131
24	1712	11985
25	1790	11983
26	1870	11985
27	1904	11698
28	1967	11600
29	2031	11511
30	2112	11516
31	2182	11460
32	2240	11338
33	2303	11248
34	2359	11123
35	2422	11036
36	2481	10933
37	2541	10833
38	2613	10790
39	2664	10656
40	2725	10569
41	2784	10474
42	2849	10402
43	2903	10292
44	2962	10203
45	3014	10092
46	3086	10047
47	3154	9988
48	3218	9919
49	3267	9801
50	3336	9747
51	3390	9649
52	3451	9571
53	3506	9481
54	3570	9413
55	3633	9344
56	3690	9258
57	3744	9167
58	3812	9111
59	3887	9070
60	3954	9010
61	4030	8970
62	4090	8895
63	4149	8817
64	4179	8681
65	4237	8603
66	4305	8546
67	4362	8468
68	4435	8421
69	4503	8363
70	4558	8283
71	4611	8197
72	4674	8131
73	4743	8077
74	4798	7996
75	4869	7944
76	4963	7928
77	5027	7863
78	5097	7808
79	5194	7792
80	5256	7722
81	5316	7650
