iter	Accuracy	Logloss
0	0.7921348315	0.6649869175
1	0.7949438202	0.6370664681
2	0.8188202247	0.6095968162
3	0.8216292135	0.5900457815
4	0.8202247191	0.565323858
5	0.8356741573	0.5458459109
6	0.8286516854	0.5243408035
7	0.8286516854	0.5119734818
8	0.8342696629	0.4972718388
9	0.8370786517	0.4864570746
10	0.845505618	0.473779043
11	0.845505618	0.4658755511
12	0.8469101124	0.4574300576
13	0.8497191011	0.4465941301
14	0.845505618	0.4394372657
15	0.8441011236	0.4294784339
16	0.8525280899	0.4224927178
17	0.8539325843	0.4130883747
18	0.856741573	0.4056356765
19	0.856741573	0.4006417142
20	0.8553370787	0.3934384509
21	0.8609550562	0.3862935564
22	0.8623595506	0.3816773813
23	0.8665730337	0.3742676058
24	0.8707865169	0.3710210214
25	0.8665730337	0.3702536822
26	0.8721910112	0.364853227
27	0.875	0.3615585969
28	0.8707865169	0.3569704552
29	0.8721910112	0.3540670426
30	0.8721910112	0.3492752598
31	0.8792134831	0.344476665
32	0.8806179775	0.3402945805
33	0.8806179775	0.3358707003
34	0.8806179775	0.3330517548
35	0.8806179775	0.3311207121
36	0.8848314607	0.3289294339
37	0.8848314607	0.3268307787
38	0.8848314607	0.3228342325
39	0.8876404494	0.320609244
40	0.8848314607	0.3181867811
41	0.8904494382	0.3156825761
42	0.8904494382	0.314465952
43	0.893258427	0.3108393253
44	0.893258427	0.3083204527
45	0.8960674157	0.3061216844
46	0.8960674157	0.304384007
47	0.8988764045	0.3021263206
48	0.8988764045	0.2990057372
49	0.8960674157	0.2977381833
50	0.9002808989	0.2961715592
51	0.9002808989	0.2936050497
52	0.9002808989	0.2911181388
53	0.9016853933	0.2900174029
54	0.9016853933	0.287145688
55	0.9016853933	0.2846537503
56	0.9002808989	0.283308778
57	0.9030898876	0.2813446053
58	0.9016853933	0.280934046
59	0.9016853933	0.2786134904
60	0.9016853933	0.2772147074
61	0.9058988764	0.276547347
62	0.9073033708	0.2760877389
63	0.9058988764	0.2737169861
64	0.9087078652	0.2718979979
65	0.9101123596	0.2699026147
66	0.9115168539	0.2675936829
67	0.9101123596	0.2663467504
68	0.9101123596	0.2651619057
69	0.9115168539	0.2647957975
70	0.9101123596	0.2636449643
71	0.9129213483	0.2612059721
72	0.9115168539	0.2586267107
73	0.9129213483	0.2570773154
74	0.9143258427	0.2557162688
75	0.9157303371	0.2543961717
76	0.9171348315	0.2533768706
77	0.9199438202	0.2516428781
78	0.9171348315	0.2497098709
79	0.9199438202	0.2489311369
80	0.9199438202	0.2471355921
81	0.9213483146	0.2453634982
82	0.9213483146	0.2445993683
83	0.9241573034	0.2434950874
84	0.9241573034	0.2421243933
85	0.9241573034	0.2407514521
86	0.9255617978	0.2402751222
87	0.9255617978	0.2395039643
88	0.922752809	0.2378829905
89	0.922752809	0.2369410641
90	0.9241573034	0.2349227567
91	0.9269662921	0.233644373
92	0.9283707865	0.2326373124
93	0.9283707865	0.2319628104
94	0.9297752809	0.23048325
95	0.9311797753	0.2279844138
96	0.933988764	0.2266648962
97	0.933988764	0.224449581
98	0.9353932584	0.2226301092
99	0.9367977528	0.2208882046
100	0.9382022472	0.2204341529
101	0.9382022472	0.2198249385
102	0.9382022472	0.2190530351
103	0.9396067416	0.2182265498
104	0.941011236	0.2175539431
105	0.9438202247	0.2165475348
106	0.941011236	0.2156283417
107	0.9438202247	0.2139494218
108	0.9452247191	0.2121523361
109	0.9494382022	0.2117049887
110	0.9494382022	0.2111929076
111	0.9494382022	0.2103388864
112	0.9508426966	0.2087534095
113	0.9508426966	0.2073895518
114	0.952247191	0.206487738
115	0.9508426966	0.2042147944
116	0.9564606742	0.2026268804
117	0.9564606742	0.2017964954
118	0.9564606742	0.2008355014
119	0.9564606742	0.1998038363
120	0.9564606742	0.1986189167
121	0.9592696629	0.1973673782
122	0.9606741573	0.1965558912
123	0.9620786517	0.1953549514
124	0.9620786517	0.1939037863
125	0.9620786517	0.193738606
126	0.9634831461	0.1932918208
127	0.9634831461	0.191213322
128	0.9634831461	0.1887790457
129	0.9634831461	0.1867321719
130	0.9634831461	0.1858708589
131	0.9634831461	0.1847421005
132	0.9634831461	0.1838709699
133	0.9634831461	0.1830960641
134	0.9634831461	0.1825085267
135	0.9648876404	0.1799284295
136	0.9648876404	0.1790172541
137	0.9648876404	0.1789053525
138	0.9648876404	0.177853883
139	0.9648876404	0.1762843517
140	0.9662921348	0.1739336037
141	0.9676966292	0.1733901095
142	0.9676966292	0.1715653863
143	0.9676966292	0.1694929344
144	0.9676966292	0.1689392405
145	0.9691011236	0.1677412376
146	0.9691011236	0.1666690271
147	0.9691011236	0.1645724907
148	0.9691011236	0.164099394
149	0.9691011236	0.1639617066
150	0.9733146067	0.1633222074
151	0.9733146067	0.1619949926
152	0.9733146067	0.1615840279
153	0.9733146067	0.1605184715
154	0.9733146067	0.1597262337
155	0.9775280899	0.1588839653
156	0.9761235955	0.1578569542
157	0.9775280899	0.1564470324
158	0.9789325843	0.1557774882
159	0.9775280899	0.155407265
160	0.9789325843	0.154839524
161	0.9789325843	0.1536676775
162	0.9789325843	0.1525388599
163	0.9803370787	0.1516525945
164	0.9803370787	0.1511946161
165	0.9803370787	0.1508273676
166	0.9803370787	0.1500942419
167	0.9803370787	0.1495233466
168	0.9803370787	0.1493320642
169	0.981741573	0.1486246768
170	0.9803370787	0.1476418029
171	0.9803370787	0.1463058853
172	0.9831460674	0.1441116685
173	0.9831460674	0.1435398358
174	0.9831460674	0.1428773862
175	0.9831460674	0.1420922701
176	0.9845505618	0.1411013045
177	0.9859550562	0.1402470039
178	0.9859550562	0.1401638122
179	0.9859550562	0.1392459138
180	0.9859550562	0.1376101167
181	0.9859550562	0.1373251261
182	0.9873595506	0.1368133792
183	0.9873595506	0.1357033927
184	0.9873595506	0.1355318185
185	0.9873595506	0.134560842
186	0.9859550562	0.1334487713
187	0.9859550562	0.133273224
188	0.9859550562	0.1331399871
189	0.9859550562	0.1323430955
190	0.9859550562	0.1315493524
191	0.9873595506	0.1302539814
192	0.9873595506	0.1293076003
193	0.9887640449	0.1286644173
194	0.9887640449	0.1285882479
195	0.9887640449	0.1277830758
196	0.9887640449	0.1265055611
197	0.9887640449	0.1259826564
198	0.9887640449	0.1250108422
199	0.9887640449	0.1245373505
200	0.9887640449	0.1240415068
201	0.9887640449	0.1232665161
202	0.9901685393	0.1226462476
203	0.9901685393	0.1217021688
204	0.9901685393	0.1210135411
205	0.9901685393	0.1203070703
206	0.9901685393	0.120224577
207	0.9901685393	0.1190215515
208	0.9901685393	0.1188170314
209	0.9915730337	0.1180250689
210	0.9901685393	0.1174933438
211	0.9901685393	0.1167114834
212	0.9901685393	0.11635695
213	0.9901685393	0.1156098313
214	0.9901685393	0.1152131978
215	0.9901685393	0.1145977871
216	0.9915730337	0.1131608088
217	0.9915730337	0.1122907649
218	0.9915730337	0.1116993395
219	0.9929775281	0.1110278007
220	0.9929775281	0.110329645
221	0.9929775281	0.1101981626
222	0.9929775281	0.1096747291
223	0.9929775281	0.1091594227
224	0.9929775281	0.1090022804
225	0.9929775281	0.1081304083
226	0.9929775281	0.1080628819
227	0.9929775281	0.1079728731
228	0.9929775281	0.1071757769
229	0.9929775281	0.1066616086
230	0.9943820225	0.1054554833
231	0.9943820225	0.1048809694
232	0.9943820225	0.103967991
233	0.9943820225	0.1036086783
234	0.9943820225	0.1032847183
235	0.9957865169	0.1026459385
236	0.9957865169	0.1024583924
237	0.9957865169	0.1020782188
238	0.9971910112	0.1011570286
239	0.9985955056	0.1004749575
240	0.9985955056	0.09988058695
241	0.9985955056	0.09932143093
242	0.9985955056	0.09871496336
243	0.9985955056	0.09816811331
244	0.9985955056	0.09806657512
245	0.9985955056	0.09671705181
246	0.9985955056	0.09576921724
247	0.9985955056	0.09456129674
248	0.9985955056	0.09402702309
249	0.9985955056	0.09292823484
250	0.9985955056	0.09169071063
251	0.9985955056	0.09094450255
252	0.9985955056	0.09086282072
253	0.9985955056	0.09066568119
254	0.9985955056	0.08987198131
255	0.9985955056	0.08906242946
256	0.9985955056	0.08898538264
257	0.9985955056	0.08893012531
258	0.9985955056	0.08879791966
259	0.9985955056	0.08841507404
260	0.9985955056	0.08811378048
261	0.9985955056	0.08742161623
262	0.9985955056	0.0868908794
263	0.9985955056	0.08671558168
264	0.9985955056	0.08639234014
265	0.9985955056	0.08610926873
266	0.9985955056	0.08588803998
267	0.9985955056	0.08584351728
268	0.9985955056	0.085231726
269	0.9985955056	0.0847317792
270	0.9985955056	0.0845059453
271	0.9985955056	0.0841590662
272	0.9985955056	0.08369434256
273	0.9985955056	0.08345195691
274	0.9985955056	0.08270381607
275	0.9985955056	0.08232644316
276	0.9985955056	0.08202708324
277	0.9985955056	0.08166736053
278	0.9985955056	0.08143889061
279	0.9985955056	0.08095351815
280	0.9985955056	0.08062139125
281	0.9985955056	0.08013795388
282	0.9985955056	0.07993309985
283	0.9985955056	0.07957125538
284	0.9985955056	0.07920029997
285	0.9985955056	0.07868891255
286	0.9985955056	0.07777131393
287	0.9985955056	0.07752971961
288	0.9985955056	0.07738164867
289	0.9985955056	0.07732031196
290	0.9985955056	0.07664844983
291	0.9985955056	0.07627457404
292	0.9985955056	0.0761070047
293	0.9985955056	0.07584786775
294	0.9985955056	0.07539471983
295	0.9985955056	0.07494807855
296	0.9985955056	0.07467119195
297	0.9985955056	0.07452396433
298	0.9985955056	0.0744520498
299	0.9985955056	0.07400748631
300	0.9985955056	0.0732478593
301	0.9985955056	0.07304884125
302	0.9985955056	0.07263649407
303	0.9985955056	0.07218282083
304	0.9985955056	0.07166635473
305	0.9985955056	0.0710959556
306	1	0.07048206296
307	1	0.06966960536
308	1	0.0690042111
309	1	0.06867349303
