iter	Passed	Remaining
0	57	285675
1	108	270704
2	160	266588
3	192	240526
4	233	232907
5	275	229256
6	319	227797
7	345	215472
8	372	206484
9	401	200420
10	430	195324
11	449	186824
12	498	191180
13	541	192952
14	580	192872
15	632	196958
16	662	194132
17	708	196187
18	758	198905
19	785	195632
20	839	199143
21	884	200179
22	938	203065
23	996	206703
24	1028	204594
25	1038	198748
26	1084	199840
27	1123	199555
28	1173	201128
29	1227	203361
30	1308	209793
31	1370	212829
32	1408	212058
33	1455	212596
34	1501	213053
35	1536	211840
36	1593	213754
37	1633	213245
38	1685	214360
39	1740	215851
40	1793	216958
41	1837	216907
42	1894	218370
43	1948	219458
44	2033	223941
45	2079	223906
46	2169	228621
47	2205	227541
48	2243	226689
49	2288	226596
50	2340	227095
51	2395	227923
52	2456	229285
53	2494	228476
54	2550	229339
55	2604	229920
56	2657	230471
57	2697	229875
58	2732	228836
59	2774	228440
60	2818	228190
61	2881	229485
62	2924	229157
63	2981	229921
64	3022	229510
65	3057	228584
66	3106	228737
67	3136	227462
68	3183	227504
69	3230	227496
70	3274	227354
71	3319	227171
72	3359	226753
73	3406	226729
74	3451	226669
75	3492	226253
76	3548	226849
77	3594	226824
78	3629	226105
79	3694	227230
80	3746	227519
81	3784	226995
82	3821	226395
83	3860	225935
84	3895	225271
85	3927	224410
86	3949	223054
87	3983	222353
88	4014	221530
89	4054	221202
90	4101	221269
91	4125	220109
92	4154	219191
93	4189	218650
94	4238	218829
95	4277	218531
96	4306	217699
97	4358	217994
98	4390	217363
99	4428	216986
100	4458	216250
101	4494	215837
102	4525	215141
103	4555	214469
104	4594	214193
105	4638	214153
106	4677	213893
107	4713	213516
108	4752	213232
109	4797	213267
110	4842	213275
111	4887	213304
112	4934	213424
113	4978	213382
114	5020	213262
115	5060	213046
116	5103	212992
117	5141	212701
118	5183	212604
119	5235	212925
120	5285	213131
121	5336	213387
122	5381	213383
123	5425	213355
124	5470	213357
125	5490	212382
126	5517	211698
127	5566	211874
128	5602	211537
129	5627	210799
130	5672	210830
131	5710	210581
132	5748	210371
133	5797	210540
134	5835	210276
135	5872	210033
136	5919	210125
137	5950	209655
138	5994	209621
139	6023	209094
140	6068	209143
141	6106	208912
142	6151	208938
143	6187	208654
144	6231	208632
145	6270	208485
146	6321	208699
147	6368	208768
148	6397	208297
149	6417	207513
150	6466	207661
151	6510	207642
152	6546	207406
153	6584	207213
154	6630	207249
155	6672	207185
156	6719	207268
157	6768	207420
158	6797	206962
159	6830	206624
160	6881	206842
161	6928	206908
162	6949	206212
163	6990	206132
164	7028	205953
165	7065	205758
166	7111	205810
167	7146	205539
168	7162	204747
169	7204	204680
170	7252	204820
171	7307	205125
172	7353	205168
173	7391	205017
174	7443	205221
175	7485	205170
176	7507	204567
177	7553	204618
178	7600	204699
179	7643	204674
180	7682	204548
181	7740	204908
182	7762	204317
183	7799	204134
184	7850	204316
185	7901	204503
186	7924	203969
187	7957	203669
188	7971	202908
189	8004	202640
190	8042	202505
191	8080	202350
192	8118	202209
193	8150	201908
194	8199	202051
195	8251	202252
196	8296	202282
197	8333	202111
198	8382	202225
199	8412	201888
200	8460	201988
201	8495	201799
